Audience View,Date,Aggregation,Audience Size
Your engaged audience,2026-04-28,Monthly,10000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.586,1.773,Aircraft,"{'name': 'Aircraft', 'id': '923340792367'}",0.298,4.963
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.586,1.773,Watercraft,"{'name': 'Watercraft', 'id': '945927342064'}",0.251,8.245
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.586,1.773,Auto Services and Repair,"{'name': 'Auto Services and Repair', 'id': '895341869140'}",0.157,3.368
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.586,1.773,Car and Motorcycle Design,"{'name': 'Car and Motorcycle Design', 'id': '896742500696'}",0.136,2.506
Vehicles,"{'name': 'Vehicles', 'id': '918093243960'}",0.586,1.773,Campers and RV,"{'name': 'Campers and RV', 'id': '903916128253'}",0.115,8.565
Quotes,"{'name': 'Quotes', 'id': '948192800438'}",0.586,1.047,Quotes by Genres,"{'name': 'Quotes by Genres', 'id': '919926839991'}",0.94,0.973
Event Planning,"{'name': 'Event Planning', 'id': '941870572865'}",0.454,0.908,Holiday,"{'name': 'Holiday', 'id': '910319220330'}",0.929,1.066
Event Planning,"{'name': 'Event Planning', 'id': '941870572865'}",0.454,0.908,Gifts,"{'name': 'Gifts', 'id': '915305016791'}",0.214,0.716
Event Planning,"{'name': 'Event Planning', 'id': '941870572865'}",0.454,0.908,Personal Celebration,"{'name': 'Personal Celebration', 'id': '944522520255'}",0.198,0.655
Event Planning,"{'name': 'Event Planning', 'id': '941870572865'}",0.454,0.908,Hosting Occasions,"{'name': 'Hosting Occasions', 'id': '945568894404'}",0.143,0.677
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.399,1.072,Wedding Cake,"{'name': 'Wedding Cake', 'id': '959317080636'}",0.294,0.876
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.399,1.072,Wedding Outfit,"{'name': 'Wedding Outfit', 'id': '953811328161'}",0.281,0.812
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.399,1.072,Wedding Decor,"{'name': 'Wedding Decor', 'id': '919736858270'}",0.206,0.776
Wedding,"{'name': 'Wedding', 'id': '903260720461'}",0.399,1.072,Wedding Stationery,"{'name': 'Wedding Stationery', 'id': '916276424875'}",0.2,1.129
Men's Fashion,"{'name': ""Men's Fashion"", 'id': '924581335376'}",0.364,1.578,Men's Style,"{'name': ""Men's Style"", 'id': '903212673711'}",0.562,1.465
Men's Fashion,"{'name': ""Men's Fashion"", 'id': '924581335376'}",0.364,1.578,Men's Outfit by Occasions,"{'name': ""Men's Outfit by Occasions"", 'id': '954653184301'}",0.247,1.441

Countries,Percent of audience
Other,0.499
United States,0.157
Brazil,0.075
Russian Federation,0.055
Mexico,0.047
India,0.045
Argentina,0.037
Germany,0.03
France,0.03
Colombia,0.025

Metros,Percent of audience
Denver,0.048
"Charleston, SC",0.048
Atlanta,0.048
Los Angeles,0.048
Albuquerque-Santa Fe,0.032
Omaha,0.032
Richmond-Petersburg,0.032
Seattle-Tacoma,0.032
Springfield-Holyoke,0.032
Chicago,0.032

Gender,Percent of audience
Female,0.461
Male,0.461
Unspecified & custom,0.077

Device,Percent of audience
Android Mobile,0.454
iPhone,0.369
Web,0.367
iPad,0.065
Mobile Web,0.055
Android Tablet,0.05

Age,Percent of audience
25-34,0.299
35-44,0.237
55-64,0.12
18-24,0.117
50-54,0.11
45-49,0.082
65+,0.027

