Audience View,Date,Aggregation,Audience Size
Your total audience,2026-06-04,Monthly,99000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Health,"{'name': 'Health', 'id': '898620064290'}",0.648,1.204,Weight Loss,"{'name': 'Weight Loss', 'id': '921895445919'}",0.016,0.356
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.627,1.933,Landscape and Urbanism Architecture,"{'name': 'Landscape and Urbanism Architecture', 'id': '924770706928'}",0.571,2.545
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.627,1.933,Architectural Style,"{'name': 'Architectural Style', 'id': '908797015303'}",0.512,0.772
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.627,1.933,Residential Architecture,"{'name': 'Residential Architecture', 'id': '917763335785'}",0.469,1.447
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.627,1.933,Commercial and Office Architecture,"{'name': 'Commercial and Office Architecture', 'id': '958567870080'}",0.343,1.794
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.627,1.933,Educational Architecture,"{'name': 'Educational Architecture', 'id': '916646672676'}",0.122,4.33
Architecture,"{'name': 'Architecture', 'id': '918105274631'}",0.627,1.933,Cultural Architecture,"{'name': 'Cultural Architecture', 'id': '933965241695'}",0.041,
Beauty,"{'name': 'Beauty', 'id': '935541271955'}",0.602,1.042,Hair,"{'name': 'Hair', 'id': '903411883690'}",0.723,0.812
Beauty,"{'name': 'Beauty', 'id': '935541271955'}",0.602,1.042,Skin Care,"{'name': 'Skin Care', 'id': '898977956499'}",0.458,0.815
Beauty,"{'name': 'Beauty', 'id': '935541271955'}",0.602,1.042,Makeup,"{'name': 'Makeup', 'id': '948264532184'}",0.264,0.641
Beauty,"{'name': 'Beauty', 'id': '935541271955'}",0.602,1.042,Bath and Body Care,"{'name': 'Bath and Body Care', 'id': '924324486050'}",0.234,0.686
Beauty,"{'name': 'Beauty', 'id': '935541271955'}",0.602,1.042,Nails,"{'name': 'Nails', 'id': '956143059915'}",0.184,0.528
Beauty,"{'name': 'Beauty', 'id': '935541271955'}",0.602,1.042,Men's Beauty,"{'name': ""Men's Beauty"", 'id': '944758664397'}",0.053,1.233
